employee_id,function_id,status
E001,ren_ansvarsvakt,qualified
E001,ren_arbeidsbord,qualified
E001,ren_kontrollsone,qualified
E001,uren_produksjon,qualified
E002,ren_arbeidsbord,qualified
E002,uren_produksjon,qualified
E002,utpost_gastrolab,qualified
E002,utpost_kir_pol,qualified
E002,utpost_kop_barn,qualified
E003,ren_arbeidsbord,qualified
E003,uren_produksjon,qualified
E004,ren_arbeidsbord,qualified
E004,steril_produksjon,qualified
E004,uren_produksjon,qualified
E005,ren_ansvarsvakt,qualified
E005,ren_arbeidsbord,qualified
E005,ren_kontrollsone,qualified
E005,ren_poliklinikker_lospakk,qualified
E005,ren_sterrad,qualified
E005,steril_produksjon,qualified
E005,uren_produksjon,qualified
E005,utpost_kir_pol,qualified
E006,ren_ansvarsvakt,qualified
E006,ren_arbeidsbord,qualified
E006,ren_kontrollsone,qualified
E006,steril_produksjon,qualified
E006,uren_produksjon,qualified
E007,ren_arbeidsbord,qualified
E007,ren_kontrollsone,qualified
E007,steril_produksjon,qualified
E007,uren_produksjon,qualified
E007,utpost_gastrolab,qualified
E007,utpost_kir_pol,qualified
E008,ren_arbeidsbord,qualified
E008,ren_kontrollsone,qualified
E008,steril_produksjon,qualified
E008,uren_produksjon,qualified
E008,utpost_gastrolab,qualified
E008,utpost_kir_pol,qualified
E008,utpost_kop_barn,qualified
E009,ren_arbeidsbord,qualified
E009,ren_kontrollsone,qualified
E009,ren_poliklinikker_lospakk,qualified
E009,ren_sterrad,qualified
E009,steril_produksjon,qualified
E009,uren_produksjon,qualified
E009,utpost_gastrolab,qualified
E009,utpost_kir_pol,qualified
E009,utpost_kop_barn,qualified
E010,ren_ansvarsvakt,qualified
E010,ren_arbeidsbord,qualified
E010,ren_kontrollsone,qualified
E010,ren_poliklinikker_lospakk,qualified
E010,ren_sterrad,qualified
E010,uren_produksjon,qualified
E011,ren_arbeidsbord,qualified
E011,uren_produksjon,qualified
E011,utpost_gastrolab,qualified
E011,utpost_kir_pol,qualified
E012,ren_arbeidsbord,qualified
E012,ren_kontrollsone,qualified
E012,uren_produksjon,qualified
E013,ren_ansvarsvakt,qualified
E013,ren_arbeidsbord,qualified
E013,ren_kontrollsone,qualified
E013,ren_poliklinikker_lospakk,qualified
E013,ren_sterrad,qualified
E013,steril_produksjon,qualified
E013,uren_produksjon,qualified
E014,ren_ansvarsvakt,qualified
E014,ren_arbeidsbord,qualified
E014,ren_kontrollsone,qualified
E014,ren_poliklinikker_lospakk,qualified
E014,ren_sterrad,qualified
E014,steril_produksjon,qualified
E014,uren_produksjon,qualified
E015,ren_ansvarsvakt,qualified
E015,ren_arbeidsbord,qualified
E015,ren_kontrollsone,qualified
E015,ren_poliklinikker_lospakk,qualified
E015,ren_sterrad,qualified
E015,steril_produksjon,uncertain
E015,uren_produksjon,qualified
E016,ren_arbeidsbord,qualified
E016,ren_kontrollsone,qualified
E016,ren_poliklinikker_lospakk,qualified
E016,ren_sterrad,qualified
E016,steril_produksjon,qualified
E016,uren_produksjon,qualified
E017,ren_ansvarsvakt,qualified
E017,ren_arbeidsbord,qualified
E017,ren_kontrollsone,qualified
E017,ren_poliklinikker_lospakk,qualified
E017,ren_sterrad,qualified
E017,steril_produksjon,qualified
E017,uren_produksjon,qualified
E017,utpost_gastrolab,qualified
E017,utpost_kir_pol,qualified
E017,utpost_kop_barn,qualified
E018,ren_arbeidsbord,qualified
E018,ren_poliklinikker_lospakk,uncertain
E018,ren_sterrad,uncertain
E018,steril_produksjon,qualified
E018,uren_produksjon,qualified
E018,utpost_gastrolab,qualified
E019,ren_arbeidsbord,qualified
E019,ren_kontrollsone,qualified
E019,ren_poliklinikker_lospakk,qualified
E019,ren_sterrad,qualified
E019,steril_produksjon,qualified
E019,uren_produksjon,qualified
E019,utpost_gastrolab,qualified
E019,utpost_kir_pol,qualified
E019,utpost_kop_barn,qualified
E020,ren_arbeidsbord,qualified
E020,ren_kontrollsone,qualified
E020,uren_produksjon,qualified
E021,ren_ansvarsvakt,qualified
E021,ren_arbeidsbord,qualified
E021,ren_kontrollsone,qualified
E021,ren_poliklinikker_lospakk,qualified
E021,ren_sterrad,qualified
E021,steril_produksjon,qualified
E022,ren_ansvarsvakt,qualified
E022,ren_arbeidsbord,qualified
E022,ren_kontrollsone,qualified
E022,ren_poliklinikker_lospakk,qualified
E022,ren_sterrad,qualified
E022,steril_produksjon,qualified
E022,uren_produksjon,qualified
E023,ren_ansvarsvakt,qualified
E023,ren_arbeidsbord,qualified
E023,ren_kontrollsone,qualified
E023,ren_poliklinikker_lospakk,qualified
E023,ren_sterrad,qualified
E023,steril_produksjon,qualified
E023,uren_produksjon,qualified
E024,ren_ansvarsvakt,qualified
E024,ren_arbeidsbord,qualified
E024,ren_kontrollsone,qualified
E024,ren_poliklinikker_lospakk,qualified
E024,ren_sterrad,qualified
E024,steril_produksjon,qualified
E024,uren_produksjon,qualified
E025,ren_kontrollsone,qualified
E025,steril_produksjon,qualified
E025,uren_produksjon,qualified
E025,utpost_kir_pol,qualified
E026,ren_arbeidsbord,qualified
E026,ren_kontrollsone,qualified
E026,ren_poliklinikker_lospakk,qualified
E026,ren_sterrad,qualified
E026,steril_produksjon,qualified
E026,uren_produksjon,qualified
E027,utpost_gastrolab,qualified
E027,utpost_kir_pol,qualified
E027,utpost_kop_barn,qualified
E028,utpost_gastrolab,qualified
E028,utpost_kir_pol,qualified
E028,utpost_kop_barn,qualified
E029,ren_ansvarsvakt,qualified
E029,ren_arbeidsbord,qualified
E029,ren_kontrollsone,qualified
E029,ren_poliklinikker_lospakk,qualified
E029,ren_sterrad,qualified
E029,steril_produksjon,uncertain
E029,uren_produksjon,qualified
E029,utpost_gastrolab,qualified
E029,utpost_kir_pol,qualified
E029,utpost_kop_barn,qualified
E030,ren_ansvarsvakt,qualified
E030,ren_arbeidsbord,qualified
E030,ren_kontrollsone,qualified
E030,ren_poliklinikker_lospakk,qualified
E030,ren_sterrad,qualified
E030,steril_produksjon,qualified
E030,uren_produksjon,qualified
E030,utpost_kir_pol,qualified
E031,ren_arbeidsbord,qualified
E031,ren_kontrollsone,qualified
E031,ren_poliklinikker_lospakk,qualified
E031,ren_sterrad,qualified
E031,uren_produksjon,qualified
E031,utpost_gastrolab,qualified
E031,utpost_kir_pol,qualified
E031,utpost_kop_barn,qualified
E032,ren_ansvarsvakt,qualified
E032,ren_arbeidsbord,qualified
E032,ren_kontrollsone,qualified
E032,ren_poliklinikker_lospakk,qualified
E032,ren_sterrad,qualified
E032,uren_produksjon,qualified
E032,utpost_kir_pol,qualified
E033,ren_arbeidsbord,qualified
E033,steril_produksjon,qualified
E033,uren_produksjon,qualified
E034,ren_ansvarsvakt,qualified
E034,ren_arbeidsbord,qualified
E034,ren_kontrollsone,qualified
E034,ren_poliklinikker_lospakk,qualified
E034,ren_sterrad,qualified
E034,uren_produksjon,qualified
E034,utpost_kir_pol,qualified
E035,ren_ansvarsvakt,qualified
E035,ren_arbeidsbord,qualified
E035,ren_kontrollsone,qualified
E035,ren_poliklinikker_lospakk,qualified
E035,ren_sterrad,qualified
E035,steril_produksjon,qualified
E035,uren_produksjon,qualified
E036,ren_arbeidsbord,qualified
E036,steril_produksjon,uncertain
E036,uren_produksjon,qualified
E037,ren_ansvarsvakt,qualified
E037,ren_arbeidsbord,qualified
E037,ren_kontrollsone,qualified
E037,ren_poliklinikker_lospakk,qualified
E037,ren_sterrad,qualified
E037,steril_produksjon,uncertain
E037,uren_produksjon,qualified
E038,ren_ansvarsvakt,qualified
E038,ren_arbeidsbord,qualified
E038,ren_kontrollsone,qualified
E038,ren_poliklinikker_lospakk,qualified
E038,ren_sterrad,qualified
E038,steril_produksjon,qualified
E038,uren_produksjon,qualified
E039,ren_ansvarsvakt,qualified
E039,ren_arbeidsbord,qualified
E039,ren_kontrollsone,qualified
E039,ren_poliklinikker_lospakk,qualified
E039,ren_sterrad,qualified
E039,steril_produksjon,qualified
E039,uren_produksjon,qualified
E039,utpost_gastrolab,qualified
E039,utpost_kir_pol,qualified
E039,utpost_kop_barn,qualified
E040,ren_arbeidsbord,qualified
E040,steril_produksjon,qualified
E040,uren_produksjon,qualified
E041,ren_arbeidsbord,qualified
E041,ren_kontrollsone,qualified
E041,ren_poliklinikker_lospakk,qualified
E041,ren_sterrad,qualified
E041,uren_produksjon,qualified
E042,ren_ansvarsvakt,qualified
E042,ren_arbeidsbord,qualified
E042,ren_kontrollsone,qualified
E042,ren_poliklinikker_lospakk,qualified
E042,ren_sterrad,qualified
E042,steril_produksjon,qualified
E042,uren_produksjon,qualified
E043,ren_arbeidsbord,qualified
E043,uren_produksjon,qualified
E044,ren_arbeidsbord,qualified
